x,y,talk
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,C: I disagree with Sean when he said that six can be an odd number. I think six can't be an odd number because- Look-
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,"T: Jeannie, Betsy? "
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,"C: Six can't be an odd number because this is even, odd, even, odd, even, odd, even. How could it be an odd number because..."
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,S: Because- 
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
157,642,
